state,county,name,observations,count
US-CA,Alameda,American Avocet,1,9
US-CA,Alameda,American Crow,2,10
US-CA,Alameda,Anna's Hummingbird,1,1
US-CA,Alameda,Barn Swallow,1,1
US-CA,Alameda,Black Oystercatcher,1,2
US-CA,Alameda,Black Phoebe,2,7
US-CA,Alameda,Black-bellied Plover,1,10
US-CA,Alameda,Black-crowned Night Heron,1,4
US-CA,Alameda,Brown Pelican,2,8
US-CA,Alameda,Brown-headed Cowbird,1,1
US-CA,Alameda,Bushtit,1,5
US-CA,Alameda,California Towhee,2,5
US-CA,Alameda,Canada Goose,1,2
US-CA,Alameda,Caspian Tern,2,3
US-CA,Alameda,Cliff Swallow,1,1
US-CA,Alameda,Double-crested Cormorant,2,3
US-CA,Alameda,European Starling,2,34
US-CA,Alameda,Great Blue Heron,1,5
US-CA,Alameda,House Finch,2,21
US-CA,Alameda,House Sparrow,1,1
US-CA,Alameda,Killdeer,1,3
US-CA,Alameda,Long-billed Curlew,1,1
US-CA,Alameda,Mallard,1,10
US-CA,Alameda,Marbled Godwit,1,20
US-CA,Alameda,Northern Mockingbird,1,2
US-CA,Alameda,Orange-crowned Warbler,1,1
US-CA,Alameda,Red-winged Blackbird,1,5
US-CA,Alameda,Rock Pigeon,1,8
US-CA,Alameda,Rock Pigeon (Feral Pigeon),1,10
US-CA,Alameda,Savannah Sparrow,1,3
US-CA,Alameda,Snowy Egret,2,8
US-CA,Alameda,Song Sparrow,2,3
US-CA,Alameda,Spotted Towhee,1,1
US-CA,Alameda,Tree Swallow,1,1
US-CA,Alameda,Western Gull,1,2
US-CA,Alameda,White-crowned Sparrow,2,4
US-CA,Siskiyou,American Robin,1,1
US-CA,Siskiyou,Brewer's Blackbird,1,1
US-CA,Siskiyou,Cedar Waxwing,1,1
US-CA,Siskiyou,Lesser Goldfinch,1,1
US-CA,Siskiyou,Ring-billed Gull,1,30
US-HI,Kauai,American Barn Owl,1,1
US-HI,Kauai,Black-crowned Night Heron,1,2
US-HI,Kauai,Black-necked Stilt,2,8
US-HI,Kauai,Brown Booby,1,1
US-HI,Kauai,Chestnut Munia,1,1
US-HI,Kauai,Common Gallinule,2,5
US-HI,Kauai,Common Myna,5,31
US-HI,Kauai,Dunlin,1,1
US-HI,Kauai,Erckel's Spurfowl,1,1
US-HI,Kauai,Great Frigatebird,1,1
US-HI,Kauai,Hawaiian Coot,1,3
US-HI,Kauai,Hawaiian Duck,2,2
US-HI,Kauai,Hawaiian Goose,4,12
US-HI,Kauai,House Finch,2,2
US-HI,Kauai,House Sparrow,4,27
US-HI,Kauai,Java Sparrow,2,9
US-HI,Kauai,Laysan Albatross,1,1
US-HI,Kauai,Northern Cardinal,3,5
US-HI,Kauai,Northern Mockingbird,2,2
US-HI,Kauai,Pacific Golden-Plover,3,5
US-HI,Kauai,Red-crested Cardinal,5,9
US-HI,Kauai,Red-footed Booby,1,1
US-HI,Kauai,Red-tailed Tropicbird,1,1
US-HI,Kauai,Rock Pigeon (Feral Pigeon),1,1
US-HI,Kauai,Rose-ringed Parakeet,1,1
US-HI,Kauai,Ruddy Turnstone,1,8
US-HI,Kauai,Saffron Finch,1,2
US-HI,Kauai,Sanderling,1,1
US-HI,Kauai,Scaly-breasted Munia,2,5
US-HI,Kauai,Spotted Dove,2,5
US-HI,Kauai,Wandering Tattler,1,1
US-HI,Kauai,Warbling White-eye,2,4
US-HI,Kauai,Wedge-tailed Shearwater,1,1
US-HI,Kauai,Western Cattle-Egret,3,7
US-HI,Kauai,White-rumped Shama,3,3
US-HI,Kauai,White-tailed Tropicbird,1,3
US-HI,Kauai,Zebra Dove,4,28
US-OR,Deschutes,American Robin,1,3
US-OR,Deschutes,Bullock's Oriole,1,1
US-OR,Deschutes,California Quail,1,8
US-OR,Deschutes,Evening Grosbeak,1,1
US-OR,Deschutes,Lazuli Bunting,1,1
US-OR,Deschutes,Mallard,1,3
US-OR,Deschutes,Osprey,1,1
US-OR,Deschutes,Pine Siskin,1,1
US-OR,Deschutes,Red-tailed Hawk,1,1
US-OR,Deschutes,Say's Phoebe,1,1
US-OR,Deschutes,Turkey Vulture,1,4
US-OR,Deschutes,Violet-green Swallow,1,5
US-OR,Deschutes,Western Kingbird,1,1
US-OR,Deschutes,White-throated Swift,1,5
US-OR,Klamath,Canada Jay,1,1
US-OR,Klamath,Cassin's Finch,1,1
US-OR,Klamath,Clark's Nutcracker,1,1
US-OR,Klamath,Western Tanager,1,1
US-WA,Adams,American Coot,1,50
US-WA,Adams,American Crow,1,4
US-WA,Adams,American Kestrel,1,1
US-WA,Adams,American Robin,1,3
US-WA,Adams,Brewer's Blackbird,1,1
US-WA,Adams,Brown-headed Cowbird,1,3
US-WA,Adams,Bufflehead,1,2
US-WA,Adams,Canada Goose,1,100
US-WA,Adams,Canyon Wren,1,1
US-WA,Adams,Eurasian Collared-Dove,1,1
US-WA,Adams,Great Blue Heron,1,1
US-WA,Adams,Great Horned Owl,1,1
US-WA,Adams,Green-winged Teal,1,2
US-WA,Adams,House Finch,1,2
US-WA,Adams,Killdeer,1,1
US-WA,Adams,Long-billed Curlew,1,1
US-WA,Adams,Marsh Wren,1,1
US-WA,Adams,Northern Flicker,2,2
US-WA,Adams,Northern Pintail,1,1
US-WA,Adams,Red-tailed Hawk,2,2
US-WA,Adams,Red-winged Blackbird,2,9
US-WA,Adams,Sandhill Crane,1,20
US-WA,Adams,Snow Goose,1,1
US-WA,Adams,Tricolored Blackbird,1,1
US-WA,Adams,Western Meadowlark,1,1
US-WA,Adams,Wilson's Snipe,1,4
US-WA,Adams,Yellow-headed Blackbird,1,1
US-WA,Clallam,American Crow,8,28
US-WA,Clallam,American Robin,7,11
US-WA,Clallam,American Wigeon,4,97
US-WA,Clallam,Anna's Hummingbird,5,8
US-WA,Clallam,Bald Eagle,10,29
US-WA,Clallam,Band-tailed Pigeon,1,3
US-WA,Clallam,Barn Swallow,4,6
US-WA,Clallam,Barred Owl,1,1
US-WA,Clallam,Belted Kingfisher,7,12
US-WA,Clallam,Black Oystercatcher,4,14
US-WA,Clallam,Black Turnstone,3,10
US-WA,Clallam,Black-bellied Plover,6,61
US-WA,Clallam,Black-capped Chickadee,3,7
US-WA,Clallam,Brandt's Cormorant,1,7
US-WA,Clallam,Brant,3,670
US-WA,Clallam,Brewer's Blackbird,1,4
US-WA,Clallam,Brown Creeper,1,2
US-WA,Clallam,Brown-headed Cowbird,2,3
US-WA,Clallam,Bufflehead,7,60
US-WA,Clallam,Bushtit,1,3
US-WA,Clallam,California Quail,1,2
US-WA,Clallam,Canada Goose,8,20
US-WA,Clallam,Caspian Tern,1,2
US-WA,Clallam,Chestnut-backed Chickadee,3,4
US-WA,Clallam,Cinnamon Teal,1,2
US-WA,Clallam,Common Goldeneye,1,1
US-WA,Clallam,Common Loon,3,6
US-WA,Clallam,Common Merganser,7,13
US-WA,Clallam,Common Murre,2,3
US-WA,Clallam,Common Raven,4,5
US-WA,Clallam,Common Yellowthroat,1,1
US-WA,Clallam,Cooper's Hawk,2,2
