state,name,media
US-WA,Golden-crowned Kinglet,650788483
US-WA,Golden-crowned Sparrow,
US-WA,Great Blue Heron,658831931 648016488 649185892 650546239 651953607 657542474 658002373 658002374 658541859 654685479 651822593 651822594 661254688
US-WA,Great Egret,
US-WA,Great Horned Owl,653396766 653396767 653396768 653396878
US-WA,Greater Scaup,
US-WA,Greater White-fronted Goose,
US-WA,Greater Yellowlegs,654685473 651822587 656515948
US-WA,Green Heron,651953593 651953594
US-WA,Green-winged Teal,649619878 651953484 655747473
US-WA,Hairy Woodpecker,662363311 658391512
US-WA,Harlequin Duck,
US-WA,Heermann's Gull,662359429 662359430
US-WA,Hermit Thrush,
US-WA,Hooded Merganser,649185860 651953512
US-WA,Horned Grebe,655400596 650788471 654685217 654685218 648642478
US-WA,Horned Lark,653396251 653396252
US-WA,Horned Puffin,659365551 659365552
US-WA,House Finch,655400046 653396842 658004533 649620001 650546288 654861865 661662259 661662260 662363343 662363344 654685173 654685174 661835272
US-WA,House Sparrow,
US-WA,Hudsonian Whimbrel,656534904 656515943
US-WA,Killdeer,655400474 656534790 658831812 658831813 649179286 650788467 662526250 648016433 654861772 653396323 655836110 651822580
US-WA,Lazuli Bunting,658391617 658391618 658391619
US-WA,Least Sandpiper,655400091 656534562 662526254 662526255 656534941
US-WA,Lesser Scaup,649185846
US-WA,Lincoln's Sparrow,654685560
US-WA,Loggerhead Shrike,653396937
US-WA,Long-billed Curlew,
US-WA,Long-billed Dowitcher,655400070 649261957 662145463 662145464
US-WA,Long-tailed Duck,655400533
US-WA,MacGillivray's Warbler,
US-WA,Mallard,662621207 658004447 658004448 658004449 658004450 651953457 655747467 657542448 657542449 658002328 658541848 661835229
US-WA,Marbled Godwit,656534659 656534913 656534914
US-WA,Marbled Murrelet,655400549 659365556 658831478
US-WA,Marsh Wren,655400351 649185929 654861859 654861860 655747595 657099651 657099652 657542503 657542504 658002469 648642138
US-WA,Mountain Bluebird,653396261 653396262 653396263
US-WA,Mountain Chickadee,
US-WA,Mourning Dove,658391460
US-WA,Northern Flicker,651953736 651953737 651953738 655747548 658541874 661662228
US-WA,Northern Harrier,656534493 649261841 651822597 661835252
US-WA,Northern Pintail,651822551
US-WA,Northern Pygmy-Owl,663312669 663312670 663312671 663312672
US-WA,Northern Rough-winged Swallow,655400432 658831863 658831947
US-WA,Northern Shoveler,649185823 651953430 655747456 651822543
US-WA,Northern Yellow Warbler,657542585
US-WA,Olive-sided Flycatcher,
US-WA,Orange-crowned Warbler,655400437 662363419
US-WA,Osprey,658004539 654861798 654861800 654861802 655747515 655747516 657542479 657542557 661662221 661662222 658831488 658831489
US-WA,Pacific Loon,659365588 659365607
US-WA,Pacific Wren,
US-WA,Pelagic Cormorant,655399892 648642416
US-WA,Peregrine Falcon,
US-WA,Pied-billed Grebe,662621211 662621212 658004474 649185880 652394610 657099581
US-WA,Pigeon Guillemot,658831823 658831824 655399877 654685209 648642286 648642287
US-WA,Pileated Woodpecker,654861819 654861820 663141381 663141382 663141383
US-WA,Pine Siskin,
US-WA,Purple Finch,
US-WA,Purple Martin,655747586 657099634 658002428 658541899 658541900
US-WA,Red Crossbill,
US-WA,Red Knot,
US-WA,Red-breasted Merganser,
US-WA,Red-breasted Nuthatch,
US-WA,Red-breasted Sapsucker,661254698
US-WA,Red-necked Grebe,655400643 648642319
US-WA,Red-tailed Hawk,653397345 649619916 651953657 658391485 658391486 658391487
US-WA,Red-throated Loon,655400479
US-WA,Red-winged Blackbird,653396996 655400346 649620018 649620033 649185966 650546298 651953781 654861897 657099717 658002639 658541985 654685570 662363351 651822610 658391583 661835303
US-WA,Redhead,
US-WA,Rhinoceros Auklet,655400699
US-WA,Ring-billed Gull,
US-WA,Ring-necked Duck,650546208 650546209 652394606
US-WA,Ring-necked Pheasant,
US-WA,Rock Pigeon (Feral Pigeon),655400553 662359427 648642242
US-WA,Rock Wren,658831495 658831496 658831497 658831499
US-WA,Ruby-crowned Kinglet,650546279 650546280
US-WA,Ruddy Duck,651822562
US-WA,Ruddy Turnstone,
US-WA,Rufous Hummingbird,655400492 656534783 662363306 662363307
US-WA,Sanderling,655400102 656534579 656534746
US-WA,Sandhill Crane,
US-WA,Savannah Sparrow,655400729 658831900 654685550
US-WA,Say's Phoebe,
US-WA,Semipalmated Plover,656534861 656535002 656534675 656534739
US-WA,Short-billed Dowitcher,656534930
US-WA,Short-billed Gull,655400634
US-WA,Short-eared Owl,649262140 649262141 649262142
US-WA,Snow Goose,
US-WA,Snowy Plover,656534887 656534889
US-WA,Song Sparrow,655400407 649185951 657099694 658002478 658541951 651822608 661254716
US-WA,Sooty Grouse,663312701 663312702 663312703 663312704
US-WA,Spotted Sandpiper,661835235 661835236
US-WA,Spotted Towhee,649620013 654861885 655747612 657099704 657542549 648642194
US-WA,Steller's Jay,658004488
US-WA,Surf Scoter,650788459
US-WA,Surfbird,
US-WA,Swainson's Thrush,
US-WA,Townsend's Warbler,662363377 662363378 662363380 662363381
US-WA,Tree Swallow,655400063 653396616 653396467 653396863 653396864 658004521 651953767 655747577 657099630 657099631 658002423 658002424 658541887 661662237 661662238 661662239 661662240 654685521 654685522 654685523 662363324 662363325 662363326 654685160 651820819 661835253
US-WA,Tricolored Blackbird,
US-WA,Trumpeter Swan,649619827 649262132
US-WA,Tufted Puffin,659365539 659365540
US-WA,Turkey Vulture,
US-WA,Varied Thrush,653396829
US-WA,Vaux's Swift,
US-WA,Violet-green Swallow,655400335 656534485 658831924 658831925 658831927 654685167
US-WA,Virginia Rail,656678560 656678561 657099548 657099549 657542468 657542469 657542470 658541853 658541854 658541855 658541856 658541857 661835230 661835231 661835232 661835233
US-WA,Wandering Tattler,662526259
US-WA,Western Flycatcher,
US-WA,Western Grebe,
US-WA,Western Gull,656534583
US-WA,Western Kingbird,
US-WA,Western Meadowlark,653396383
US-WA,Western Sandpiper,656535005 656535011 656534817 656534818 656534820
US-WA,Western Tanager,
US-WA,Western Warbling Vireo,
US-WA,Western Wood-Pewee,658004481 662363313
US-WA,White-crowned Sparrow,655400565 653396490 656535026 658831882 658831939 658831940 658831950 661662244 661662245 655399920 658391551 658391552
US-WA,White-winged Scoter,
US-WA,Willow Flycatcher,658541876 658541877
US-WA,Wilson's Snipe,648016444 651822585
US-WA,Wilson's Warbler,656535032
US-WA,Wood Duck,662621204 648016389 648016390 649619851 649619853 651953422 654861752 657542425
US-WA,Yellow-headed Blackbird,658391561
US-WA,Yellow-rumped Warbler,655400440 651953829 654861916 655747619 661254730
