state,name,media
US-CA,American Avocet,659894433 659894434
US-CA,American Crow,
US-CA,American Robin,
US-CA,Anna's Hummingbird,659894387
US-CA,Barn Swallow,
US-CA,Black Oystercatcher,
US-CA,Black Phoebe,659894396 659894397
US-CA,Black-bellied Plover,659894591
US-CA,Black-crowned Night Heron,659894402 659894403
US-CA,Brewer's Blackbird,
US-CA,Brown Pelican,659894589
US-CA,Brown-headed Cowbird,
US-CA,Bushtit,659894588
US-CA,California Towhee,659894578 659894579
US-CA,Canada Goose,
US-CA,Caspian Tern,
US-CA,Cedar Waxwing,
US-CA,Cliff Swallow,
US-CA,Double-crested Cormorant,
US-CA,European Starling,659894398
US-CA,Great Blue Heron,
US-CA,House Finch,659894574 659894575 659894576 659894404
US-CA,House Sparrow,
US-CA,Killdeer,
US-CA,Lesser Goldfinch,
US-CA,Long-billed Curlew,659894437
US-CA,Mallard,
US-CA,Marbled Godwit,
US-CA,Northern Mockingbird,
US-CA,Orange-crowned Warbler,
US-CA,Red-winged Blackbird,
US-CA,Ring-billed Gull,
US-CA,Rock Pigeon,
US-CA,Rock Pigeon (Feral Pigeon),
US-CA,Savannah Sparrow,
US-CA,Snowy Egret,
US-CA,Song Sparrow,
US-CA,Spotted Towhee,
US-CA,Tree Swallow,
US-CA,Western Gull,
US-CA,White-crowned Sparrow,659894581
US-HI,American Barn Owl,662833478 662833479
US-HI,Black-crowned Night Heron,662833738
US-HI,Black-necked Stilt,662833731 662833785 662833786
US-HI,Brown Booby,
US-HI,Chestnut Munia,
US-HI,Common Gallinule,662833766
US-HI,Common Myna,662833572
US-HI,Dunlin,662833874
US-HI,Erckel's Spurfowl,
US-HI,Great Frigatebird,
US-HI,Hawaiian Coot,662833779
US-HI,Hawaiian Duck,
US-HI,Hawaiian Goose,662833546
US-HI,House Finch,662833789
US-HI,House Sparrow,662833581 662833582
US-HI,Java Sparrow,662833971
US-HI,Laysan Albatross,662833652 662833653
US-HI,Northern Cardinal,662833843 662833844
US-HI,Northern Mockingbird,662834037
US-HI,Pacific Golden-Plover,662833747 662833834 662833563
US-HI,Red-crested Cardinal,662833577 662833578 662834057
US-HI,Red-footed Booby,662833632 662833646
US-HI,Red-tailed Tropicbird,662833637 662833638 662833640
US-HI,Rock Pigeon (Feral Pigeon),
US-HI,Rose-ringed Parakeet,
US-HI,Ruddy Turnstone,662833800
US-HI,Saffron Finch,662833958
US-HI,Sanderling,662833858
US-HI,Scaly-breasted Munia,662833947 662833948
US-HI,Spotted Dove,662833549
US-HI,Wandering Tattler,662833754
US-HI,Warbling White-eye,662833568
US-HI,Wedge-tailed Shearwater,662833657
US-HI,Western Cattle-Egret,662833565 662833566
US-HI,White-rumped Shama,662833719 662833720
US-HI,White-tailed Tropicbird,
US-HI,Zebra Dove,
US-OR,American Robin,
US-OR,Bullock's Oriole,
US-OR,California Quail,
US-OR,Canada Jay,
US-OR,Cassin's Finch,
US-OR,Clark's Nutcracker,
US-OR,Evening Grosbeak,
US-OR,Lazuli Bunting,
US-OR,Mallard,
US-OR,Osprey,
US-OR,Pine Siskin,
US-OR,Red-tailed Hawk,
US-OR,Say's Phoebe,
US-OR,Turkey Vulture,
US-OR,Violet-green Swallow,
US-OR,Western Kingbird,
US-OR,Western Tanager,
US-OR,White-throated Swift,
US-WA,American Bittern,656515959
US-WA,American Coot,653396449 648016413 649185870 651953555 651953556
US-WA,American Crow,650788478 657099617 658002409 648642132
US-WA,American Dipper,
US-WA,American Goldfinch,662621237 662621238 662621239 654861876 658541948 658391544 661254708 661254709 661835274 661835275 661835276
US-WA,American Kestrel,653397333 662621227 662621228
US-WA,American Robin,653396428 657099664 657542519 661662243 662363331 662363332 658391536
US-WA,American White Pelican,
US-WA,American Wigeon,650788457
US-WA,Anna's Hummingbird,662621216 649185864 650546223 650546224 651953519 655747487 657542456 658002353 654685152 648642257 651822570
US-WA,Bald Eagle,655400363 653396591 658831831 658831832 648016464 649619906 649185905 649185906 650546250 650546252 650546254 651953658 655747520 658002386 658002650 658541866 661662223 656534979 649261832 654685492 654685493 651822601 658391472 656515966
US-WA,Band-tailed Pigeon,662363299
US-WA,Bank Swallow,
US-WA,Barn Swallow,655400059 656534496 658831867 651953398 657542493 658002443 658002446 658002456 658541902 656534924 654685577 656515974
US-WA,Barred Owl,655225169 658248507 658248510 658248512 658248513
US-WA,Barrow's Goldeneye,650788464 655399956
US-WA,Belted Kingfisher,655400500 659365752 659365753 659365754 659365755 659365756 649619926 649185912 651953698 651953699 651959166 652394630
US-WA,Bewick's Wren,649619984 658541928
US-WA,Black Oystercatcher,655400560 656535019
US-WA,Black Phoebe,649233968 654685503
US-WA,Black Scoter,
US-WA,Black Turnstone,656535025
US-WA,Black-bellied Plover,
US-WA,Black-billed Magpie,
US-WA,Black-capped Chickadee,655400356 658004495 649619941 651953748 658541885
US-WA,Black-crowned Night Heron,
US-WA,Black-headed Grosbeak,
US-WA,Blue-winged Teal,657542432
US-WA,Bonaparte's Gull,
US-WA,Brandt's Cormorant,655399882
US-WA,Brant,648642230 648642231
US-WA,Brewer's Blackbird,661835278
US-WA,Brown Creeper,650788482 658002466
US-WA,Brown Pelican,659365603
US-WA,Brown-headed Cowbird,653396962 656534487 662359436 661254723 656515995
US-WA,Bufflehead,649619891 649185855
US-WA,Bullock's Oriole,658391574 658391575
US-WA,Burrowing Owl,653396373 653396374
US-WA,Bushtit,649619959 650546267 654861837 654861838 657542498
US-WA,Cackling Goose,
US-WA,California Gull,656534529
US-WA,California Quail,653396808
US-WA,California Scrub-Jay,
US-WA,Canada Goose,649185815 650546198 651953415 655747451 655747452 657099512 657542413 658002293 658002294 658541841
US-WA,Canada Jay,
US-WA,Canyon Wren,
US-WA,Caspian Tern,
US-WA,Cedar Waxwing,657542534 657542535 657542536 658541942 658541943 662363337 661254703 661254704 661835260 661835261
US-WA,Chestnut-backed Chickadee,649619945
US-WA,Chipping Sparrow,
US-WA,Chukar,
US-WA,Cinnamon Teal,651822654
US-WA,Clark's Nutcracker,
US-WA,Cliff Swallow,658004505 658004508 656515984 656515987 656515988
US-WA,Common Goldeneye,
US-WA,Common Loon,655400590
US-WA,Common Merganser,649619896
US-WA,Common Murre,659365573
US-WA,Common Raven,
US-WA,Common Yellowthroat,662363358 661254727 661254728 662145476
US-WA,Cooper's Hawk,651953656
US-WA,Dark-eyed Junco,662621240 648016474 649185938
US-WA,Double-crested Cormorant,648016453 649185882 650546234 651953576 652394615 654861786 655747507 655399906
US-WA,Downy Woodpecker,649619936 651953716 655747529 657099599 661662225 649261836 654685497
US-WA,Dunlin,656534944 649261961
US-WA,Eurasian Collared-Dove,651822565
US-WA,Eurasian Wigeon,650788448 650788449
US-WA,European Starling,653396899 658541932
US-WA,Fox Sparrow,
US-WA,Gadwall,658004457 648016397 649619860 649185826 651953445 655747460 657099517 657542438 658002309 654685138 651822554
US-WA,Glaucous-winged Gull,658831827 662526261
