Swan Goose	7.57E-5	2.09E-5	1.618E-4	1.87E-4	1.529E-4	7.26E-5	4.06E-5	4.62E-5	2.09E-5	6.77E-5	2.03E-5	4.21E-5	1.98E-5	2.1E-5	0.0	0.0	0.0	1.52E-5	1.75E-5	0.0	0.0	0.0	4.16E-5	0.0015	2.23E-5	5.02E-5	5.21E-5	1.91E-5	2.5E-5	0.0	2.59E-5	5.35E-5	0.0	2.58E-5	2.47E-5	1.252E-4	2.5E-5	0.0	0.0	6.31E-5	2.76E-5	2.81E-5	9.03E-5	1.759E-4	8.95E-5	9.43E-5	1.852E-4	1.724E-4	
Graylag x Swan Goose (hybrid)	0.0	0.0	2.02E-5	1.56E-5	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23E-5	0.0	2.61E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01E-5	4.4E-5	2.98E-5	3.14E-5	0.0	0.0	
Greater White-fronted Goose	0.0124446	0.0105825	0.0095868	0.0088178	0.0084302	0.0079107	0.0064006	0.0113167	0.0108927	0.0106923	0.0109785	0.0119492	0.0114534	0.0133297	0.0190682	0.0217099	0.0144697	0.0061144	0.0027758	0.0012064	5.332E-4	1.558E-4	4.16E-5	1.604E-4	1.338E-4	1.506E-4	1.303E-4	3.44E-4	3.743E-4	5.18E-4	7.524E-4	0.0027447	0.0044237	0.0044395	0.0094786	0.0377374	0.03987	0.0333402	0.0293214	0.0240064	0.0206223	0.0189688	0.0156142	0.014091	0.0105317	0.0089572	0.0085999	0.0099672	
Snow x Greater White-fronted Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	1.35E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Taiga Bean-Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.29E-5	0.0015	0.0	
Taiga/Tundra Bean-Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pink-footed Goose	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	2.09E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.52E-5	0.0015	0.0015	4.4E-5	2.98E-5	0.0015	0.0015	1.72E-5	
Domestic goose sp. (Domestic type)	0.0012717	0.0015476	0.0011124	0.0012619	0.0013104	0.0012701	0.0010826	8.083E-4	0.001252	0.001376	9.555E-4	9.127E-4	0.0010322	9.236E-4	7.597E-4	6.723E-4	6.828E-4	8.041E-4	5.587E-4	7.112E-4	5.865E-4	6.816E-4	5.827E-4	5.347E-4	0.0010259	0.0011047	0.0011466	8.6E-4	0.0012476	0.001036	0.0011415	0.0010159	0.0012442	0.0010324	0.0011384	0.0011062	0.0010749	0.0010872	0.0018012	0.0014938	0.0010215	0.0018012	0.0013538	0.001275	0.0013724	0.0012257	0.0011378	0.0011209	
Anser sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72E-5	
Brant	0.0260094	0.0306389	0.0306211	0.029585	0.0298768	0.0250567	0.0225984	0.0321255	0.0311548	0.0318287	0.0376319	0.0301328	0.0315018	0.0337546	0.0330276	0.028559	0.01777	0.0076923	0.0046788	0.0018922	6.576E-4	7.595E-4	9.989E-4	9.446E-4	8.921E-4	9.792E-4	7.297E-4	9.364E-4	0.0010231	8.288E-4	5.189E-4	9.446E-4	0.0013824	0.0010583	7.177E-4	6.262E-4	9.999E-4	9.836E-4	0.0016831	0.003724	0.0072606	0.0140155	0.0173591	0.0195867	0.0204368	0.0227858	0.019846	0.0238489	
Barnacle Goose	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	4.62E-5	0.0	0.0	0.0015	1.4E-5	1.98E-5	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1E-5	2.76E-5	5.63E-5	3.01E-5	2.2E-5	0.0	3.14E-5	0.0	0.0	
Cackling Goose	0.0671733	0.0623026	0.0606355	0.0635944	0.058072	0.0488433	0.0405959	0.0560521	0.0497892	0.0538224	0.0505825	0.0492853	0.039819	0.0415005	0.0486772	0.0377612	0.0155915	0.0068882	0.0049581	0.0019811	5.51E-4	9.74E-5	6.24E-5	1.78E-5	4.46E-5	2.009E-4	1.564E-4	3.058E-4	2.495E-4	1.554E-4	3.892E-4	4.456E-4	8.064E-4	0.0018068	0.0181899	0.0547485	0.0672916	0.0905726	0.1036142	0.1054093	0.0966237	0.093268	0.0815909	0.0798417	0.0671579	0.0662832	0.0621577	0.0645456	
Snow x Cackling Goose (hybrid)	0.0	0.0	0.0	1.56E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted x Cackling Goose (hybrid)	3.03E-5	1.882E-4	6.07E-5	6.23E-5	1.092E-4	7.26E-5	8.12E-5	2.31E-5	1.043E-4	4.51E-5	4.07E-5	7.02E-5	7.94E-5	2.1E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	2.1E-5	2.76E-5	0.0	6.02E-5	2.2E-5	2.98E-5	9.43E-5	1.058E-4	0.0	
