Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S285380811,Black-bellied Whistling-Duck,Dendrocygna autumnalis,243,9,US-TX,Cameron,L283726,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),26.1400912,-97.1748233,2025-11-20,12:53 PM,eBird - Traveling Count,120,1,1.609,,9,,,,645920320
S285225977,Black-bellied Whistling-Duck,Dendrocygna autumnalis,243,13,US-TX,Hidalgo,L249889,Edinburg Scenic Wetlands WBC (LTC 061),26.2905822,-98.1351909,2025-11-19,12:54 PM,eBird - Traveling Count,90,1,1.609,,9
S285380905,Black-bellied Whistling-Duck,Dendrocygna autumnalis,243,10,US-TX,Hidalgo,L259855,Estero Llano Grande SP WBC (LTC 054),26.1268335,-97.9578167,2025-11-20,07:13 AM,eBird - Traveling Count,60,1,.805,,9
S285225465,Black-bellied Whistling-Duck,Dendrocygna autumnalis,243,5,US-TX,Hidalgo,L21636963,Peculiar Nest Airbnb (restricted access),26.180693,-98.272806,2025-11-18,07:00 AM,eBird - Stationary Count,40,1,,,10
S312570475,Snow Goose,Anser caerulescens,267,X,US-WA,Adams,L1071738,Columbia NWR--Royal Lake,46.8716342,-119.3433344,2026-03-22,11:00 AM,eBird - Stationary Count,20,1,,,20
S312066452,Snow Goose,Anser caerulescens,267,1000,US-WA,Grant,L60811904,"Lower Crab Creek Road Southeast, Othello, Washington, US (46.81, -119.416)",46.8103875,-119.4164898,2026-03-22,10:02 AM,eBird - Stationary Count,3,1,,,1
S311113230,Snow Goose,Anser caerulescens,267,1000,US-WA,Grant,L1678863,Potholes Reservoir--south half,46.991357,-119.3181243,2026-03-20,10:58 AM,eBird - Traveling Count,156,1,20.014,,1
S164380841,Snow Goose,Anser caerulescens,267,X,US-WA,Skagit,L1369427,Fir Island -- Browns Slough Road,48.35381,-122.42297,2024-03-10,09:00 AM,eBird - Traveling Count,180,0,1.609,,6
S295226157,Snow Goose,Anser caerulescens,267,1,US-WA,Skagit,L476174,Skagit Wildlife Area--Wiley Slough,48.3246351,-122.3741287,2026-01-19,11:25 AM,eBird - Traveling Count,72,1,.891,,1
S159175946,Graylag Goose,Anser anser,275,1,AU-NSW,Sydney,L915566,Royal Botanic Gardens (Sydney),-33.8638957,151.2167577,2023-08-19,,Historical,,1
S260172580,Graylag Goose (Domestic type),Anser anser (Domestic type),278,X,CH-GE,,L926699,Jetée et Port des Pâquis,46.2102417,6.1546,2025-07-04,,Historical,,0
S327403524,Greater White-fronted Goose,Anser albifrons,287,14,US-WA,Snohomish,L2410089,"Home Acres Rd, Everett",47.9581889,-122.1737838,2026-04-25,03:16 PM,eBird - Stationary Count,20,1,,,1
S342994543,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),312,1,US-WA,King,L163354,Green Lake,47.6783945,-122.3382464,2026-05-20,09:01 AM,eBird - Traveling Count,222,1,4.611,,1
S324366340,Brant,Branta bernicla,314,500,US-WA,Clallam,L828590,Dungeness Landing Park/Oyster House,48.1514639,-123.143456,2026-04-19,12:52 PM,eBird - Stationary Count,65,1,,,1
S323667024,Brant,Branta bernicla,314,70,US-WA,Clallam,L190512,Ediz Hook,48.14035,-123.44711,2026-04-18,08:22 AM,eBird - Traveling Count,154,1,4.076,,1
S324402551,Brant,Branta bernicla,314,100,US-WA,Clallam,L265438,Three Crabs,48.151945,-123.1222855,2026-04-19,02:15 PM,eBird - Traveling Count,74,1,.389,,1
S293545903,Brant,Branta bernicla,314,X,US-WA,Snohomish,L374382,Edmonds Waterfront,47.8119268,-122.3854144,2026-01-10,12:05 PM,eBird - Traveling Count,89,1,.914,,1,,,,648642230 648642231
S297588705,Brant,Branta bernicla,314,22,US-WA,Snohomish,L374382,Edmonds Waterfront,47.8119268,-122.3854144,2026-02-01,12:36 PM,eBird - Traveling Count,124,1,1.416,,1
S260172580,Barnacle Goose,Branta leucopsis,322,X,CH-GE,,L926699,Jetée et Port des Pâquis,46.2102417,6.1546,2025-07-04,,Historical,,0
S330084156,Cackling Goose,Branta hutchinsii,331,X,US-WA,Grays Harbor,L276426,Grays Harbor NWR (Bowerman Basin),46.9731644,-123.9436064,2026-04-30,02:47 PM,eBird - Traveling Count,104,1,1.512,,1
S282214936,Cackling Goose,Branta hutchinsii,331,X,US-WA,Thurston,L282253,Billy Frank Jr. Nisqually NWR,47.0812514,-122.7180576,2025-10-31,09:53 AM,eBird - Traveling Count,193,1,3.491,,1
S291455322,Cackling Goose,Branta hutchinsii,331,X,US-WA,Thurston,L282253,Billy Frank Jr. Nisqually NWR,47.0812514,-122.7180576,2025-12-31,08:11 AM,eBird - Traveling Count,256,1,3.231,,1
