ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
662621240,Photo,Dark-eyed Junco,Junco hyemalis,,,Alison Gale,2026-08-07,2026,8,7,932,United States,US-WA-033,Washington,King,Frager Rd. (north),47.4188830,-122.2678757,"",,Unspecified,false,false,,,,,,,S380906489,"",,,,,Junco hyemalis,daejun,Species,33124,,.00,0,,2523,3784
662621237,Photo,American Goldfinch,Spinus tristis,,,Alison Gale,2026-08-07,2026,8,7,932,United States,US-WA-033,Washington,King,Frager Rd. (north),47.4188830,-122.2678757,"",,Unspecified,false,false,,,,,,,S380906489,"",,,,,Spinus tristis,amegfi,Species,32617,,.00,0,,1911,2867
662621238,Photo,American Goldfinch,Spinus tristis,,,Alison Gale,2026-08-07,2026,8,7,932,United States,US-WA-033,Washington,King,Frager Rd. (north),47.4188830,-122.2678757,"",,Unspecified,false,false,,,,,,,S380906489,"",,,,,Spinus tristis,amegfi,Species,32617,,.00,0,,1875,2813
662621239,Photo,American Goldfinch,Spinus tristis,,,Alison Gale,2026-08-07,2026,8,7,932,United States,US-WA-033,Washington,King,Frager Rd. (north),47.4188830,-122.2678757,"",,Unspecified,false,false,,,,,,,S380906489,"",,,,,Spinus tristis,amegfi,Species,32617,,.00,0,,1941,2912
662621227,Photo,American Kestrel,Falco sparverius,,,Alison Gale,2026-08-07,2026,8,7,932,United States,US-WA-033,Washington,King,Frager Rd. (north),47.4188830,-122.2678757,"",,Unspecified,false,false,,,,,,,S380906489,"",,,,,Falco sparverius,amekes,Species,12028,,.00,0,,1937,2906
662621228,Photo,American Kestrel,Falco sparverius,,,Alison Gale,2026-08-07,2026,8,7,932,United States,US-WA-033,Washington,King,Frager Rd. (north),47.4188830,-122.2678757,"",,Unspecified,false,false,,,,,,,S380906489,"",,,,,Falco sparverius,amekes,Species,12028,,.00,0,,1757,2636
662621216,Photo,"Anna's Hummingbird",Calypte anna,,,Alison Gale,2026-08-07,2026,8,7,932,United States,US-WA-033,Washington,King,Frager Rd. (north),47.4188830,-122.2678757,"",,Unspecified,false,false,,,,,,,S380906489,"",,,,,Calypte anna,annhum,Species,4814,,.00,0,,1965,2947
662621212,Photo,Pied-billed Grebe,Podilymbus podiceps,,,Alison Gale,2026-08-07,2026,8,7,932,United States,US-WA-033,Washington,King,Frager Rd. (north),47.4188830,-122.2678757,"",,Unspecified,false,false,,,,,,,S380906489,"",,,,,Podilymbus podiceps,pibgre,Species,6855,,.00,0,,1947,2921
662621211,Photo,Pied-billed Grebe,Podilymbus podiceps,,,Alison Gale,2026-08-07,2026,8,7,932,United States,US-WA-033,Washington,King,Frager Rd. (north),47.4188830,-122.2678757,"",,Unspecified,false,false,,,,,,,S380906489,"",,,,,Podilymbus podiceps,pibgre,Species,6855,,.00,0,,1496,2244
662621207,Photo,Mallard,Anas platyrhynchos,,,Alison Gale,2026-08-07,2026,8,7,932,United States,US-WA-033,Washington,King,Frager Rd. (north),47.4188830,-122.2678757,"",,Unspecified,false,false,,,,,,,S380906489,"",,,,,Anas platyrhynchos,mallar3,Species,545,,.00,0,,2422,3633
662621204,Photo,Wood Duck,Aix sponsa,,,Alison Gale,2026-08-07,2026,8,7,932,United States,US-WA-033,Washington,King,Frager Rd. (north),47.4188830,-122.2678757,"",,Unspecified,false,false,,,,,,,S380906489,"",,,,,Aix sponsa,wooduc,Species,455,,.00,0,,2713,4069
662526261,Photo,Glaucous-winged Gull,Larus glaucescens,,,Alison Gale,2026-08-05,2026,8,5,1446,United States,US-WA-033,Washington,King,Charles Richey Sr. Viewpoint,47.5726544,-122.4140185,"",,Unspecified,false,false,,,,,,,S380318688,"",,,,,Larus glaucescens,glwgul,Species,6596,,.00,0,,2927,4390
