ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
662526259,Photo,Wandering Tattler,Tringa incana,,,Alison Gale,2026-08-05,2026,8,5,1446,United States,US-WA-033,Washington,King,Charles Richey Sr. Viewpoint,47.5726544,-122.4140185,"",,Unspecified,false,false,,,,,,,S380318688,"",,,,Large gray shorebird by the jetty. Will add photos,Tringa incana,wantat1,Species,6134,,.00,0,,2232,3348
662526255,Photo,Least Sandpiper,Calidris minutilla,,,Alison Gale,2026-08-05,2026,8,5,1446,United States,US-WA-033,Washington,King,Charles Richey Sr. Viewpoint,47.5726544,-122.4140185,"",,Unspecified,false,false,,,,,,,S380318688,"",,,,,Calidris minutilla,leasan,Species,6226,,.00,0,,2349,3523
662526254,Photo,Least Sandpiper,Calidris minutilla,,,Alison Gale,2026-08-05,2026,8,5,1446,United States,US-WA-033,Washington,King,Charles Richey Sr. Viewpoint,47.5726544,-122.4140185,"",,Unspecified,false,false,,,,,,,S380318688,"",,,,,Calidris minutilla,leasan,Species,6226,,.00,0,,2142,3213
662526250,Photo,Killdeer,Charadrius vociferus,,,Alison Gale,2026-08-05,2026,8,5,1446,United States,US-WA-033,Washington,King,Charles Richey Sr. Viewpoint,47.5726544,-122.4140185,"",,Unspecified,false,false,,,,,,,S380318688,"",,,,,Charadrius vociferus,killde,Species,5827,,.00,0,,2279,3419
662363419,Photo,Orange-crowned Warbler,Leiothlypis celata,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Leiothlypis celata,orcwar,Species,33973,,5.00,1,,1896,2844
662363381,Photo,"Townsend's Warbler",Setophaga townsendi,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Setophaga townsendi,towwar,Species,34206,,5.00,5,,2201,3301
662363380,Photo,"Townsend's Warbler",Setophaga townsendi,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Setophaga townsendi,towwar,Species,34206,,5.00,2,,2223,3335
662363377,Photo,"Townsend's Warbler",Setophaga townsendi,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Setophaga townsendi,towwar,Species,34206,,4.00,1,,2423,1615
662363378,Photo,"Townsend's Warbler",Setophaga townsendi,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Setophaga townsendi,towwar,Species,34206,,4.50,2,,1985,2977
662363358,Photo,Common Yellowthroat,Geothlypis trichas,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Geothlypis trichas,comyel,Species,34028,,5.00,1,,1717,2575
662363351,Photo,Red-winged Blackbird,Agelaius phoeniceus,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Agelaius phoeniceus,rewbla,Species,33779,,4.00,1,,2879,4318
662363344,Photo,House Finch,Haemorhous mexicanus,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Haemorhous mexicanus,houfin,Species,32310,,4.50,2,,2258,3387
662363343,Photo,House Finch,Haemorhous mexicanus,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Haemorhous mexicanus,houfin,Species,32310,,4.00,1,,2050,3075
662363337,Photo,Cedar Waxwing,Bombycilla cedrorum,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Bombycilla cedrorum,cedwax,Species,29888,,4.00,1,,1797,2695
662363331,Photo,American Robin,Turdus migratorius,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Turdus migratorius,amerob,Species,28633,,4.00,1,,2559,3839
662363332,Photo,American Robin,Turdus migratorius,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Turdus migratorius,amerob,Species,28633,,4.00,1,,2765,4147
662363326,Photo,Tree Swallow,Tachycineta bicolor,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Tachycineta bicolor,treswa,Species,24064,,5.00,1,,2747,4121
662363325,Photo,Tree Swallow,Tachycineta bicolor,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Tachycineta bicolor,treswa,Species,24064,,5.00,1,,2001,3002
662363324,Photo,Tree Swallow,Tachycineta bicolor,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Tachycineta bicolor,treswa,Species,24064,,4.00,1,,1865,2797
662363313,Photo,Western Wood-Pewee,Contopus sordidulus,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Contopus sordidulus,wewpew,Species,16912,,3.00,1,,1643,2464
662363311,Photo,Hairy Woodpecker,Leuconotopicus villosus,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Leuconotopicus villosus,haiwoo,Species,11427,,4.00,1,,2144,3216
662363307,Photo,Rufous Hummingbird,Selasphorus rufus,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Selasphorus rufus,rufhum,Species,4826,,5.00,2,,2221,3331
662363306,Photo,Rufous Hummingbird,Selasphorus rufus,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Selasphorus rufus,rufhum,Species,4826,,5.00,1,,2349,3523
662363299,Photo,Band-tailed Pigeon,Patagioenas fasciata,,,Alison Gale,2026-08-02,2026,8,2,725,United States,US-WA-061,Washington,Snohomish,Big Four Ice Caves,48.0651548,-121.5151566,"",,Unspecified,false,false,,,,,,,S379333332,"",,,,,Patagioenas fasciata,batpig1,Species,1966,,3.00,1,,1779,2669
662359436,Photo,Brown-headed Cowbird,Molothrus ater,,,Alison Gale,2026-08-02,2026,8,2,1458,United States,US-WA-061,Washington,Snohomish,Edmonds Marina,47.8079405,-122.3924276,"",,Unspecified,false,false,,,,,,,S379365619,"",,,,,Molothrus ater,bnhcow,Species,33833,,4.00,1,,3545,5317
662359430,Photo,"Heermann's Gull",Larus heermanni,,,Alison Gale,2026-08-02,2026,8,2,1458,United States,US-WA-061,Washington,Snohomish,Edmonds Marina,47.8079405,-122.3924276,"",,Unspecified,false,false,,,,,,,S379365619,"",,,,,Larus heermanni,heegul,Species,6512,,5.00,1,,1691,2537
662359429,Photo,"Heermann's Gull",Larus heermanni,,,Alison Gale,2026-08-02,2026,8,2,1458,United States,US-WA-061,Washington,Snohomish,Edmonds Marina,47.8079405,-122.3924276,"",,Unspecified,false,false,,,,,,,S379365619,"",,,,,Larus heermanni,heegul,Species,6512,,4.00,1,,1743,2614
662359427,Photo,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),,,Alison Gale,2026-08-02,2026,8,2,1458,United States,US-WA-061,Washington,Snohomish,Edmonds Marina,47.8079405,-122.3924276,"",,Unspecified,false,false,,,,,,,S379365619,"",,,,,Columba livia,rocpig1,Domestic,1868,,5.00,1,,3408,5112
662145476,Photo,Common Yellowthroat,Geothlypis trichas,,,Alison Gale,2026-07-26,2026,7,26,1923,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S376877165,"",,,,,Geothlypis trichas,comyel,Species,34028,,4.00,1,,2059,3089
662145463,Photo,Long-billed Dowitcher,Limnodromus scolopaceus,,,Alison Gale,2026-07-26,2026,7,26,1923,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S376877165,"",,,,,Limnodromus scolopaceus,lobdow,Species,6061,,5.00,1,,2435,3653
662145464,Photo,Long-billed Dowitcher,Limnodromus scolopaceus,,,Alison Gale,2026-07-26,2026,7,26,1923,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S376877165,"",,,,,Limnodromus scolopaceus,lobdow,Species,6061,,4.00,1,,2690,4035
661835303,Photo,Red-winged Blackbird,Agelaius phoeniceus,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Agelaius phoeniceus,rewbla,Species,33779,,3.50,2,,3545,5317
661835278,Photo,"Brewer's Blackbird",Euphagus cyanocephalus,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Euphagus cyanocephalus,brebla,Species,33851,,5.00,2,,3693,5539
661835274,Photo,American Goldfinch,Spinus tristis,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Spinus tristis,amegfi,Species,32617,,5.00,2,,1768,2652
661835275,Photo,American Goldfinch,Spinus tristis,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Spinus tristis,amegfi,Species,32617,,5.00,1,,1837,2755
661835276,Photo,American Goldfinch,Spinus tristis,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Spinus tristis,amegfi,Species,32617,,5.00,1,,1774,2661
661835272,Photo,House Finch,Haemorhous mexicanus,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Haemorhous mexicanus,houfin,Species,32310,,5.00,2,,2093,3139
661835260,Photo,Cedar Waxwing,Bombycilla cedrorum,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Bombycilla cedrorum,cedwax,Species,29888,,5.00,1,,1945,2917
661835261,Photo,Cedar Waxwing,Bombycilla cedrorum,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Bombycilla cedrorum,cedwax,Species,29888,,5.00,1,,1862,2793
661835253,Photo,Tree Swallow,Tachycineta bicolor,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Tachycineta bicolor,treswa,Species,24064,,4.50,2,,1779,2669
661835252,Photo,Northern Harrier,Circus hudsonius,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Circus hudsonius,norhar2,Species,8324,,4.00,1,,1882,2823
661835236,Photo,Spotted Sandpiper,Actitis macularius,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Actitis macularius,sposan,Species,6126,,4.50,2,,1654,2481
661835235,Photo,Spotted Sandpiper,Actitis macularius,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Actitis macularius,sposan,Species,6126,,5.00,1,,1882,2823
661835230,Photo,Virginia Rail,Rallus limicola,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Rallus limicola,virrai,Species,5297,,5.00,1,,1700,2550
661835233,Photo,Virginia Rail,Rallus limicola,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Rallus limicola,virrai,Species,5297,,5.00,1,,2007,3011
661835231,Photo,Virginia Rail,Rallus limicola,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Rallus limicola,virrai,Species,5297,,5.00,1,,1768,2652
661835232,Photo,Virginia Rail,Rallus limicola,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Rallus limicola,virrai,Species,5297,,5.00,1,,1683,2524
661835229,Photo,Mallard,Anas platyrhynchos,,,Alison Gale,2026-07-23,2026,7,23,1441,United States,US-WA-061,Washington,Snohomish,Stanwood Water Treatment Plant,48.2377017,-122.3611822,"",,Unspecified,false,false,,,,,,,S375605391,"",,,,,Anas platyrhynchos,mallar3,Species,545,,4.00,1,,2884,4326
661662259,Photo,House Finch,Haemorhous mexicanus,,,Alison Gale,2026-07-20,2026,7,20,531,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,false,false,,,,,,,S374368808,"",,,,,Haemorhous mexicanus,houfin,Species,32310,,3.00,1,,1698,2547
661662260,Photo,House Finch,Haemorhous mexicanus,,,Alison Gale,2026-07-20,2026,7,20,531,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,false,false,,,,,,,S374368808,"",,,,,Haemorhous mexicanus,houfin,Species,32310,,4.00,1,,1523,2284
661662244,Photo,White-crowned Sparrow,Zonotrichia leucophrys,,,Alison Gale,2026-07-20,2026,7,20,531,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,false,false,,,,,,,S374368808,"",,,,,Zonotrichia leucophrys,whcspa,Species,33187,,5.00,1,,2033,3049
661662245,Photo,White-crowned Sparrow,Zonotrichia leucophrys,,,Alison Gale,2026-07-20,2026,7,20,531,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,false,false,,,,,,,S374368808,"",,,,,Zonotrichia leucophrys,whcspa,Species,33187,,5.00,1,,1939,2908
661662243,Photo,American Robin,Turdus migratorius,,,Alison Gale,2026-07-20,2026,7,20,531,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,false,false,,,,,,,S374368808,"",,,,,Turdus migratorius,amerob,Species,28633,,3.50,2,,2032,3048
661662240,Photo,Tree Swallow,Tachycineta bicolor,,,Alison Gale,2026-07-20,2026,7,20,531,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,false,false,,,,,,,S374368808,"",,,,,Tachycineta bicolor,treswa,Species,24064,,5.00,1,,1956,2934
661662238,Photo,Tree Swallow,Tachycineta bicolor,,,Alison Gale,2026-07-20,2026,7,20,531,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,false,false,,,,,,,S374368808,"",,,,,Tachycineta bicolor,treswa,Species,24064,,4.00,1,,1618,2427
661662239,Photo,Tree Swallow,Tachycineta bicolor,,,Alison Gale,2026-07-20,2026,7,20,531,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,false,false,,,,,,,S374368808,"",,,,,Tachycineta bicolor,treswa,Species,24064,,5.00,1,,1666,2499
661662237,Photo,Tree Swallow,Tachycineta bicolor,,,Alison Gale,2026-07-20,2026,7,20,531,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,false,false,,,,,,,S374368808,"",,,,,Tachycineta bicolor,treswa,Species,24064,,4.00,1,,1598,2397
661662228,Photo,Northern Flicker,Colaptes auratus,,,Alison Gale,2026-07-20,2026,7,20,531,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,false,false,,,,,,,S374368808,"",,,,,Colaptes auratus,norfli,Species,11900,,4.50,2,,1666,2499
661662225,Photo,Downy Woodpecker,Dryobates pubescens,,,Alison Gale,2026-07-20,2026,7,20,531,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,false,false,,,,,,,S374368808,"",,,,,Dryobates pubescens,dowwoo,Species,11400,,5.00,2,,1651,2476
661662223,Photo,Bald Eagle,Haliaeetus leucocephalus,,,Alison Gale,2026-07-20,2026,7,20,531,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,false,false,,,,,,,S374368808,"",,,,,Haliaeetus leucocephalus,baleag,Species,8367,,4.00,1,,4069,6103
661662221,Photo,Osprey,Pandion haliaetus,,,Alison Gale,2026-07-20,2026,7,20,531,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,false,false,,,,,,,S374368808,"",,,,,Pandion haliaetus,osprey,Species,7832,,4.00,2,,2035,3052
661662222,Photo,Osprey,Pandion haliaetus,,,Alison Gale,2026-07-20,2026,7,20,531,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,false,false,,,,,,,S374368808,"",,,,,Pandion haliaetus,osprey,Species,7832,,5.00,1,,2549,3823
661254730,Photo,Yellow-rumped Warbler,Setophaga coronata,,,Alison Gale,2026-07-12,2026,7,12,730,United States,US-WA-061,Washington,Snohomish,Riverview Wildlife Refuge / Snohomish Wastewater Treatment Plant,47.9165434,-122.1100652,"",,Unspecified,false,false,,,,,,,S371256974,"",,,,,Setophaga coronata,yerwar,Species,34159,,3.00,2,,1960,2940
661254728,Photo,Common Yellowthroat,Geothlypis trichas,,,Alison Gale,2026-07-12,2026,7,12,730,United States,US-WA-061,Washington,Snohomish,Riverview Wildlife Refuge / Snohomish Wastewater Treatment Plant,47.9165434,-122.1100652,"",,Unspecified,false,false,,,,,,,S371256974,"",,,,,Geothlypis trichas,comyel,Species,34028,,2.50,2,,1704,2556
661254727,Photo,Common Yellowthroat,Geothlypis trichas,,,Alison Gale,2026-07-12,2026,7,12,730,United States,US-WA-061,Washington,Snohomish,Riverview Wildlife Refuge / Snohomish Wastewater Treatment Plant,47.9165434,-122.1100652,"",,Unspecified,false,false,,,,,,,S371256974,"",,,,,Geothlypis trichas,comyel,Species,34028,,5.00,1,,1745,2618
661254723,Photo,Brown-headed Cowbird,Molothrus ater,,,Alison Gale,2026-07-12,2026,7,12,730,United States,US-WA-061,Washington,Snohomish,Riverview Wildlife Refuge / Snohomish Wastewater Treatment Plant,47.9165434,-122.1100652,"",,Unspecified,false,false,,,,,,,S371256974,"",,,,,Molothrus ater,bnhcow,Species,33833,,5.00,1,,1753,2630
661254716,Photo,Song Sparrow,Melospiza melodia,,,Alison Gale,2026-07-12,2026,7,12,730,United States,US-WA-061,Washington,Snohomish,Riverview Wildlife Refuge / Snohomish Wastewater Treatment Plant,47.9165434,-122.1100652,"",,Unspecified,false,false,,,,,,,S371256974,"",,,,,Melospiza melodia,sonspa,Species,33277,,5.00,1,,2087,3131
661254709,Photo,American Goldfinch,Spinus tristis,,,Alison Gale,2026-07-12,2026,7,12,730,United States,US-WA-061,Washington,Snohomish,Riverview Wildlife Refuge / Snohomish Wastewater Treatment Plant,47.9165434,-122.1100652,"",,Unspecified,false,false,,,,,,,S371256974,"",,,,,Spinus tristis,amegfi,Species,32617,,3.00,2,,1984,2976
661254708,Photo,American Goldfinch,Spinus tristis,,,Alison Gale,2026-07-12,2026,7,12,730,United States,US-WA-061,Washington,Snohomish,Riverview Wildlife Refuge / Snohomish Wastewater Treatment Plant,47.9165434,-122.1100652,"",,Unspecified,false,false,,,,,,,S371256974,"",,,,,Spinus tristis,amegfi,Species,32617,,5.00,1,,1937,2905
661254704,Photo,Cedar Waxwing,Bombycilla cedrorum,,,Alison Gale,2026-07-12,2026,7,12,730,United States,US-WA-061,Washington,Snohomish,Riverview Wildlife Refuge / Snohomish Wastewater Treatment Plant,47.9165434,-122.1100652,"",,Unspecified,false,false,,,,,,,S371256974,"",,,,,Bombycilla cedrorum,cedwax,Species,29888,,5.00,1,,2928,4392
