Gadwall x American Wigeon (hybrid)	0.0	1.669E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.09E-5	0.0	2.515E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eurasian x American Wigeon (hybrid)	0.0012966	0.0017523	0.0013276	0.0016831	0.0018566	0.0018148	0.0010146	0.0019595	0.0011231	0.0012203	6.061E-4	6.078E-4	3.847E-4	1.818E-4	2.504E-4	6.32E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.008E-4	6.801E-4	0.0011494	9.066E-4	0.0015672	0.0015332	0.0015623	0.0017936	0.0014943	0.0022664	0.002403	0.0028449	
Eurasian/American Wigeon	9.43E-4	9.179E-4	7.468E-4	1.295E-4	4.843E-4	0.0010889	5.637E-4	3.732E-4	4.011E-4	4.694E-4	1.732E-4	2.431E-4	2.308E-4	1.818E-4	8.35E-5	6.32E-5	1.376E-4	0.0	8.0E-5	1.257E-4	1.613E-4	0.0	0.0	0.0	9.7E-5	1.182E-4	0.0015	0.0	0.0015	0.0	0.0	1.766E-4	2.007E-4	3.62E-4	6.095E-4	4.867E-4	3.025E-4	4.534E-4	0.001788	4.533E-4	3.134E-4	9.435E-4	0.0010816	0.0010761	6.404E-4	6.296E-4	8.41E-4	9.02E-4	
Mallard	0.3582037	0.3946095	0.4083969	0.4140342	0.348321	0.3207027	0.2962065	0.4099095	0.374649	0.4227917	0.434026	0.4348407	0.3793475	0.422301	0.407395	0.4064178	0.3604099	0.3816172	0.3448579	0.3586471	0.2846315	0.2956877	0.2756535	0.2718549	0.2339992	0.2765756	0.2899312	0.3060567	0.26303	0.3207756	0.3407592	0.3636444	0.3263095	0.347653	0.3653096	0.3688309	0.3213998	0.3611426	0.3915709	0.4115141	0.3373733	0.3999292	0.4132917	0.4226527	0.3362152	0.3776127	0.3908446	0.3868304	
Muscovy Duck x Mallard (hybrid)	1.179E-4	8.34E-5	1.659E-4	6.47E-5	0.0	1.452E-4	1.691E-4	9.33E-5	2.407E-4	2.816E-4	3.463E-4	3.039E-4	2.308E-4	9.09E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.003E-4	0.0	0.0	0.0	1.008E-4	3.401E-4	7.663E-4	1.813E-4	1.045E-4	1.179E-4	1.202E-4	2.69E-4	1.067E-4	0.0	2.403E-4	2.082E-4	
Wood Duck x Mallard (hybrid)	0.0	1.669E-4	2.489E-4	1.295E-4	2.422E-4	3.63E-4	1.691E-4	9.33E-5	4.813E-4	9.39E-5	8.66E-5	6.08E-5	1.539E-4	4.544E-4	0.0015	6.32E-5	0.0	0.0	0.0	6.29E-5	8.06E-5	1.992E-4	1.025E-4	8.8E-5	0.0	1.182E-4	1.251E-4	0.0	0.0	0.0	1.245E-4	1.766E-4	0.0	0.0	2.438E-4	9.73E-5	0.0	3.401E-4	1.277E-4	0.0	0.0	2.359E-4	1.202E-4	0.0	0.0	2.518E-4	1.201E-4	3.469E-4	
Gadwall x Mallard (hybrid)	0.0	8.34E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.35E-5	6.32E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Wigeon x Mallard (hybrid)	0.0	0.0	0.0	0.0	2.422E-4	0.0	5.64E-5	0.0015	1.604E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.267E-4	0.0	0.0	0.0	2.359E-4	0.0	2.69E-4	4.269E-4	1.259E-4	0.0	1.388E-4	
American Black Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.208E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.017E-4	0.0	1.277E-4	1.813E-4	3.134E-4	0.0	0.0015	0.0015	0.0	0.0	0.0	6.94E-5	
Mallard x American Black Duck (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.06E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
White-cheeked Pintail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.2E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Pintail	0.0374234	0.0453939	0.0458015	0.0487442	0.0277688	0.0235918	0.0216448	0.0255669	0.018933	0.0197128	0.0174892	0.0127644	0.0108495	0.0138132	0.0135214	0.0092224	0.0074283	0.005315	0.0060024	0.0027032	8.063E-4	0.0010955	5.126E-4	4.402E-4	3.879E-4	7.095E-4	5.003E-4	9.205E-4	5.521E-4	0.0038041	0.0134412	0.0279862	0.034718	0.0503198	0.0520478	0.0351407	0.0233965	0.0286783	0.0307791	0.0291931	0.0208965	0.0247671	0.0267997	0.0233163	0.024976	0.0327373	0.0301574	0.0318485	
Mallard x Northern Pintail (hybrid)	0.0	0.0	0.0	0.0	0.0	7.26E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.07E-5	4.179E-4	1.179E-4	3.605E-4	0.0	0.0	0.0	0.0	0.0	
