,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Brant,0.0260094,0.0306389,0.0306211,0.029585,0.0298768,0.0250567,0.0225984,0.0321255,0.0311548,0.0318287,0.0376319,0.0301328,0.0315018,0.0337546,0.0330276,0.028559,0.01777,0.0076923,0.0046788,0.0018922,0.0006576,0.0007595,0.0009989,0.0009446,0.0008921,0.0009792,0.0007297,0.0009364,0.0010231,0.0008288,0.0005189,0.0009446,0.0013824,0.0010583,0.0007177,0.0006262,0.0009999,0.0009836,0.0016831,0.003724,0.0072606,0.0140155,0.0173591,0.0195867,0.0204368,0.0227858,0.019846,0.0238489
Barnacle Goose,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,4.62e-05,0.0,0.0,0.0015,1.4e-05,1.98e-05,0.0,0.0,0.0015,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1e-05,2.76e-05,5.63e-05,3.01e-05,2.2e-05,0.0,3.14e-05,0.0,0.0
Cackling Goose,0.0671733,0.0623026,0.0606355,0.0635944,0.058072,0.0488433,0.0405959,0.0560521,0.0497892,0.0538224,0.0505825,0.0492853,0.039819,0.0415005,0.0486772,0.0377612,0.0155915,0.0068882,0.0049581,0.0019811,0.000551,9.74e-05,6.24e-05,1.78e-05,4.46e-05,0.0002009,0.0001564,0.0003058,0.0002495,0.0001554,0.0003892,0.0004456,0.0008064,0.0018068,0.0181899,0.0547485,0.0672916,0.0905726,0.1036142,0.1054093,0.0966237,0.093268,0.0815909,0.0798417,0.0671579,0.0662832,0.0621577,0.0645456
Canada Goose,0.2046084,0.2018613,0.2083814,0.227675,0.2356513,0.2202486,0.2132911,0.2761265,0.2955428,0.3142496,0.3328522,0.3369373,0.3234745,0.3314161,0.3270469,0.3217407,0.3005138,0.2912305,0.2693785,0.2374119,0.1663734,0.1333204,0.1201748,0.1204149,0.1307596,0.1558161,0.1818987,0.1965524,0.1823286,0.1892207,0.1941886,0.198756,0.2036726,0.2067728,0.204123,0.2217909,0.2150981,0.2211638,0.2399457,0.2383808,0.2297711,0.2324102,0.2235025,0.2197626,0.1920162,0.1933182,0.1926385,0.1982583
Mute Swan,0.0001968,0.0001882,0.0002023,0.0002337,0.0001747,0.0003447,0.00023,0.0002079,0.0001461,0.000203,0.0001017,0.0001264,0.0001389,0.0001889,0.0001519,0.0001681,0.0003252,0.0001972,8.73e-05,8.89e-05,0.00016,0.0001558,8.32e-05,0.0004099,0.0003791,0.0003013,0.0001303,0.0001147,9.98e-05,0.0002331,0.0001816,5.35e-05,0.0001843,0.0001291,0.000297,0.0004383,0.0003,0.0002847,0.0003839,0.0003156,0.0003865,0.0005629,0.0003009,0.0003737,0.0005967,0.0003457,0.0003175,0.0002932
Black Swan,1.51e-05,0.0,0.0,3.12e-05,2.18e-05,5.44e-05,0.0,2.31e-05,0.0,0.0,0.0,0.0,0.0015,0.0015,0.0,0.0,1.63e-05,0.0,0.0,0.0001397,1.78e-05,0.0,4.16e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78e-05,0.0,0.0,0.0015,2.09e-05,0.0,2.59e-05,0.0,0.0015,5.52e-05,0.0,3.01e-05,6.59e-05,8.95e-05,6.29e-05,2.65e-05,5.17e-05
Trumpeter Swan,0.0778466,0.0772143,0.0738628,0.0695613,0.0683585,0.0563186,0.0467259,0.0572992,0.053441,0.0438519,0.0318377,0.0141958,0.0064115,0.0040094,0.0032477,0.0027312,0.0023086,0.0022455,0.0022172,0.0020573,0.0021505,0.0019669,0.0015399,0.0016576,0.0011374,0.0012554,0.0009121,0.0013377,0.0012476,0.0009842,0.0010896,0.0010872,0.001129,0.0009808,0.0008414,0.000981,0.0006749,0.0013978,0.0020079,0.0207242,0.0424592,0.062704,0.0716628,0.0770059,0.0777493,0.072129,0.0658093,0.0742887
Tundra Swan,0.0242684,0.0229635,0.0218231,0.0231663,0.0250939,0.0224258,0.018417,0.0249659,0.0261467,0.0257156,0.0238071,0.0146452,0.0065505,0.0042823,0.002564,0.0014427,0.0014957,0.0013352,0.0006285,0.0004318,0.0001955,0.0002337,0.0001873,0.0001961,0.0003345,0.0004268,0.0005733,0.0004395,0.0004991,0.0003108,7.78e-05,0.0001782,0.0002074,7.74e-05,0.0001485,0.000167,0.000175,0.0007248,0.0019489,0.0136969,0.020429,0.0283969,0.0283703,0.0285118,0.025091,0.020523,0.0179672,0.0246077
Whooper Swan,0.001741,0.0011921,0.0011731,0.0004051,0.0009391,0.0039009,0.0012585,0.001201,0.001106,0.0009023,0.0004066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015216,0.0005971,0.0003705,0.0002414
Egyptian Goose,0.0,0.0015,2.02e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
