,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Trumpeter Swan,0.0700731,0.0659212,0.0689512,0.0546349,0.039958,0.0323026,0.0280706,0.0338714,0.0195748,0.0096686,0.0067532,0.0026137,0.0007695,0.000727,0.0006677,0.0012633,0.0002751,0.0003543,8e-05,6.29e-05,0.0,0.0,0.0,8.8e-05,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0001207,0.0,0.0,0.0002017,0.0015,0.0010217,0.0145966,0.0282102,0.0566104,0.0692224,0.0764954,0.0614793,0.0663561,0.0671633,0.0618929
Tundra Swan,0.0100778,0.0050067,0.0053933,0.0040782,0.0040362,0.0042828,0.0015783,0.0013996,0.0016847,0.0006571,0.0015584,0.0006078,0.0001539,0.0015,0.0001669,6.32e-05,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007095,0.0006254,0.0002761,0.0001104,0.0,0.0,0.0002649,0.0002007,0.0,0.0,0.0,0.0001008,0.0001134,0.0010217,0.005893,0.0031345,0.0087274,0.0068501,0.0061878,0.0038425,0.0031478,0.0028836,0.003955
Whooper Swan,0.0062471,0.0038385,0.0039827,0.0014889,0.0008072,0.000363,0.0002818,0.0015,0.0001604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egyptian Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muscovy Duck,0.0023574,0.0012517,0.0009127,0.0011652,0.000888,0.0013066,0.0017474,0.001493,0.000722,0.0009387,0.001039,0.000851,0.0015389,0.0017266,0.0015024,0.0010107,0.0010317,0.0007795,0.0012805,0.0012573,0.0011289,0.002689,0.0012301,0.0007043,0.0009697,0.0023649,0.0013759,0.0011046,0.0009938,0.0011044,0.0009956,0.0015008,0.0024082,0.0008447,0.0017065,0.0022389,0.0024203,0.0010202,0.0029374,0.0026292,0.0027165,0.0015332,0.0019228,0.0026007,0.0017078,0.002896,0.0026433,0.0014571
Wood Duck,0.0589345,0.0619993,0.0672088,0.0677758,0.056587,0.0500145,0.0495462,0.0686759,0.0621741,0.0709659,0.0862338,0.0950036,0.0844875,0.1045983,0.0949837,0.0992988,0.0872825,0.1003472,0.1017207,0.1165525,0.1066763,0.117319,0.1033316,0.1015935,0.0913499,0.0982618,0.1124453,0.1148748,0.0944125,0.1182967,0.1181083,0.1347223,0.1211118,0.1238084,0.144198,0.1461112,0.1152683,0.122988,0.1199234,0.1076156,0.082332,0.0915202,0.0861675,0.0775715,0.058384,0.0542684,0.0552685,0.0639051
Mandarin Duck,0.0,0.0005007,0.0004149,0.001942,0.0010494,0.0018873,0.0014092,0.0009331,0.0006418,0.0004694,0.0006061,0.0006686,0.0017698,0.0024537,0.0002504,0.000758,0.0004815,0.0001417,0.0003201,0.0006915,0.0012901,0.0002988,0.0,0.0002641,9.7e-05,0.0,0.0001251,9.2e-05,0.0,0.0001227,0.0,0.0,0.0002007,0.0008447,0.0003657,0.0004867,0.0005042,0.0015,0.0006386,0.0011786,0.0010448,0.0008256,0.0024036,0.0003587,0.0003202,0.0005037,0.0006007,0.0003469
Baikal Teal,0.0015,0.0005007,0.0008297,0.0,0.0,7.26e-05,0.0,0.0,0.0,0.0,0.0,0.0015,0.0015,0.0002726,0.0001669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002518,0.0,0.0
Blue-winged Teal,0.0,0.0,0.0,6.47e-05,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0001539,0.0008179,0.0021701,0.0048639,0.0058463,0.0132521,0.0211285,0.0251462,0.0166102,0.007569,0.0070733,0.0047539,0.0017455,0.0023649,0.0023765,0.0029455,0.003644,0.0056449,0.0095831,0.0065331,0.0052177,0.0051889,0.0046319,0.003407,0.002622,0.0017003,0.0006386,0.0004533,0.000209,0.0001179,0.0001202,0.0,0.0,0.0,0.0,0.0
Cinnamon Teal,0.0024752,0.0044226,0.0034849,0.0023304,0.0026639,0.0013066,0.0018601,0.0053187,0.0044124,0.0034732,0.0025974,0.0040725,0.0083102,0.0148128,0.0291295,0.0348051,0.0371415,0.0384098,0.032413,0.0325014,0.0255604,0.0179265,0.0121989,0.0085395,0.0048487,0.0049663,0.0086304,0.0099411,0.0087235,0.0116579,0.0138146,0.0117419,0.0089304,0.0076023,0.0081667,0.0043804,0.0029246,0.0027205,0.0020434,0.0024479,0.0017762,0.0008256,0.001322,0.0019729,0.001601,0.0011332,0.0013216,0.0007633
