,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Wood Duck,0.5832168,0.506422,0.5096322,0.5189341,0.495183,0.5121951,0.4842301,0.4766537,0.36953,0.3960784,0.4702602,0.4439512,0.4622793,0.4642857,0.358871,0.4175365,0.386511,0.4037559,0.4834532,0.5211558,0.5885559,0.5520282,0.5205479,0.5891784,0.5512821,0.5898123,0.6470588,0.6341463,0.7103825,0.7002653,0.7412935,0.756391,0.7462121,0.7361419,0.7777778,0.747651,0.7042254,0.7720307,0.6901408,0.6823056,0.6414729,0.6468401,0.5916824,0.5402985,0.5714286,0.487395,0.5150602,0.5460751
Mandarin Duck,0.0,0.0,0.0,0.0056101,0.0019268,0.0304878,0.0074212,0.0038911,0.0,0.0058824,0.0,0.0077691,0.0016051,0.0062112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue-winged Teal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015528,0.0268817,0.0563674,0.0505837,0.0892019,0.1597122,0.1671827,0.1239782,0.0493827,0.0639269,0.0180361,0.0076923,0.0080429,0.0076726,0.010453,0.0081967,0.005305,0.0124378,0.0045113,0.0170455,0.0354767,0.0175439,0.0120805,0.0040241,0.0019157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cinnamon Teal,0.0,0.0018349,0.0,0.0,0.0,0.0060976,0.0111317,0.0097276,0.0145867,0.0156863,0.0130112,0.017758,0.081862,0.1475155,0.2701613,0.3382046,0.4033722,0.3638498,0.3611511,0.3426213,0.2861035,0.2292769,0.1780822,0.1062124,0.0666667,0.0402145,0.0946292,0.0905923,0.1010929,0.0848806,0.0870647,0.0842105,0.0681818,0.0554324,0.0623782,0.0308725,0.0181087,0.0095785,0.0100604,0.0053619,0.0193798,0.0018587,0.0018904,0.0014925,0.0079365,0.0028011,0.0,0.003413
Northern Shoveler,0.8657343,0.8293578,0.8476357,0.8190743,0.8458574,0.8719512,0.890538,0.8871595,0.8687196,0.8823529,0.8959108,0.8756937,0.8780096,0.878882,0.8803763,0.8319415,0.6031128,0.4600939,0.3438849,0.2817337,0.0735695,0.047619,0.0136986,0.0260521,0.025641,0.0214477,0.0306905,0.0156794,0.0218579,0.0769231,0.2437811,0.4691729,0.5340909,0.6607539,0.7563353,0.7395973,0.8028169,0.8275862,0.8390342,0.8605898,0.8662791,0.8624535,0.8884688,0.8567164,0.8783069,0.8403361,0.873494,0.8668942
Gadwall,0.8867133,0.8366972,0.8633975,0.8541374,0.8863198,0.8394309,0.825603,0.8190661,0.7844408,0.7705882,0.7434944,0.7369589,0.752809,0.8012422,0.8508065,0.8695198,0.8975357,0.9248826,0.9079137,0.9040248,0.9114441,0.8624339,0.8607306,0.7655311,0.6769231,0.6353887,0.6265985,0.5731707,0.5956284,0.6259947,0.7363184,0.7894737,0.8409091,0.9135255,0.9161793,0.8885906,0.8732394,0.8927203,0.8832998,0.8739946,0.874031,0.901487,0.8922495,0.8940299,0.8941799,0.8795518,0.8795181,0.8668942
Eurasian Wigeon,0.1104895,0.0954128,0.0718039,0.0659187,0.1021195,0.0691057,0.0445269,0.0914397,0.0486224,0.0509804,0.0557621,0.0221976,0.0208668,0.007764,0.0053763,0.0020877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019493,0.033557,0.0663984,0.0708812,0.0482897,0.1018767,0.124031,0.0873606,0.0869565,0.1014925,0.1269841,0.0728291,0.1295181,0.0989761
American Wigeon,0.8223776,0.8165138,0.8231173,0.8232819,0.8111753,0.7621951,0.6883117,0.7178988,0.6807131,0.6843137,0.7342007,0.5627081,0.4028892,0.378882,0.3642473,0.3058455,0.2581064,0.1338028,0.0964029,0.0846233,0.0967302,0.0917108,0.0593607,0.0681363,0.0461538,0.0294906,0.0537084,0.0418118,0.0519126,0.0530504,0.0995025,0.1789474,0.3522727,0.4922395,0.6315789,0.642953,0.7082495,0.7969349,0.806841,0.849866,0.8100775,0.83829,0.8015123,0.8358209,0.8571429,0.8403361,0.8493976,0.8327645
Mallard,0.9440559,0.9266055,0.9229422,0.9032258,0.9075145,0.8841463,0.9090909,0.9124514,0.8752026,0.9156863,0.9498141,0.9334073,0.9261637,0.939441,0.9448925,0.9363257,0.9364462,0.943662,0.9395683,0.9287926,0.8855586,0.8783069,0.8789954,0.8897796,0.8897436,0.9088472,0.915601,0.9285714,0.920765,0.9442971,0.9104478,0.912782,0.8617424,0.9467849,0.91423,0.914094,0.9275654,0.9425287,0.9356137,0.9329759,0.9282946,0.9052045,0.9243856,0.9268657,0.8968254,0.8739496,0.8975904,0.9180887
American Black Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0
